Site Name,Wetland ID #,Wetland Type,Date,Start Time,Minutes Spent Sampling,Personnel Sampling,Temperature (*C),Dominant Habitat Cover,Tadpoles Present,Other - Tadpoles Present,Plains_Spadefoot,Toad_Tadpoles,Blanchards_Cricket_Frog,Copes_Gray_Treefrog,Boreal_Chorus_Frog,Western_Narrow-mouthed_Toad,Leopard_Frog,American_Bullfrog,Total_Tadpoles,Other Species of Tadpoles and Count,Additional Species Detected?,Notes,Set #,x,y,Palaemonidae,Mosquitofish,Bellastomatidae,Bluegill,Water_scorpion,Odonata,Crayfish,Fairy_shrimp,Redeared_slider,Chironomids,Leuciscidae,Orange_spotted_sunfish,Green_sunfish,Red_shiner ,Catostomidae,Fringed_diving_beetle_larvae,Fragile_forktailm-ayfly_larvae,Burrowing_mayfly_larvae,Bellastomadid_nymph,Dragonfly_larvae,Fathead_minnow,Mayfly_larvae,Cyprinidae,Damselfly_larvae,Catfish,Virile_crayfish,Longear_sunfish,Water_tiger_larvae,Threadfin_shad,River_carpsucker
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,9:23,12,"AF, BT",,"willows, cottonwoods",Leopard_Frog_(Plains_and_Northe,,,,,,,,14,,14,,No,,9,-95.499396,40.266901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,9:38,17,"AF, BT",,"willows, cottonwoods",Leopard_Frog_(Plains_and_Northe,,,,,,,,12,,12,,No,,11,-95.500338,40.266712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,2,Borrow_Pit_-_Landward,6/11/2025,9:54,14,"AF, BT",25.7,"Willows, bare ground",Toad_(American_Great_Plains_and,,,2,,,,,,,2,,Yes,,1,-95.501532,40.267044,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Corning Bend,2,Borrow_Pit_-_Landward,6/11/2025,10:10,15,"AF, BT",,willows,Toad_(American_Great_Plains_and,,,16,,,,,,,16,,Yes,,3,-95.501289,40.267512,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Corning Bend,2,Borrow_Pit_-_Landward,6/11/2025,10:26,13,"AF, BT",,"Reeds, willows",Toad_(American_Great_Plains_and,,,38,,,,,,,38,,No,,4,-95.501316,40.267459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU Payne,1,Natural_Wetland_-_Riverward,6/11/2025,11:28,14,"AF, BT",26.1,"smartweed, misc. veg",None,,,,,,,,,,0,,Yes,,2,-95.775499,40.659394,12,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
MU Payne,1,Natural_Wetland_-_Riverward,6/11/2025,11:44,15,"AF, BT",,misc. veg,None,,,,,,,,,,0,,Yes,,3,-95.775585,40.659916,45,,,,,,,,,,,20,,,,,,,,,,,,,1,10,1,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,8:20,23,"AF, AT",23.2,"reeds, smartweed","Toad_(American_Great_Plains_and,Boreal_Chorus_Frog",,,36,,,2,,,,38,,Yes,,2,-95.752699,40.640279,,,,,,,,,,,,,,,,,,,,20,,,,2,,,,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,8:48,15,"AF, AT",,"smartweed, reed canary grass","Toad_(American_Great_Plains_and,Boreal_Chorus_Frog",,,16,,,1,,,,17,,Yes,,4,-95.753033,40.639823,,,,,,,,,,,,,,,,,,,,30,,,,10,,,,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,9:09,19,"AF, AT",,"smartweed, reed canary grass","Toad_(American_Great_Plains_and,Boreal_Chorus_Frog",,,52,,,1,,,,53,,Yes,,6,-95.752644,40.639427,,,,,,,,,,,,,,,,,,,,60,,,,15,,,,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,9:31,15,"AF, AT",,"smartweed, dead willows, reeds",Toad_(American_Great_Plains_and,,,10,,,,,,,10,,Yes,,8,-95.752381,40.639738,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,
Copeland Bend,10,Borrow_Pit_-_Riverward,6/12/2025,10:45,24,"AF, AT",,smartweed,other,,,,,,,,,,0,too tiny to ID - 12,Yes,,2,-95.843553,40.688349,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Copeland Bend,9,Borrow_Pit_-_Riverward,6/12/2025,11:21,22,"AF, AT",25.1,"smartweed, misc. veg","Toad_(American_Great_Plains_and,Boreal_Chorus_Frog,Leopard_Frog_(Plains_and_Northe",,,5,,,23,,46,,74,,Yes,,1,-95.842856,40.68795,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
Copeland Bend,9,Borrow_Pit_-_Riverward,6/12/2025,11:46,18,"AF, AT, RYO",,"smartweed, reeds, misc. veg","Toad_(American_Great_Plains_and,Boreal_Chorus_Frog,Leopard_Frog_(Plains_and_Northe",,,23,,,8,,74,,105,,Yes,,3,-95.842888,40.688416,,,,,,,12,,,,,,,,,,,,,16,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,6/10/2025,9:04,35,RYO,,,"Toad_(American_Great_Plains_and,American_Bullfrog",,,6,,,,,,1,7,,No,leopard frog egg masses present,2,-95.500753,40.258281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,3,Natural_Wetland_-_Riverward,6/10/2025,9:46,34,RYO,,,"Toad_(American_Great_Plains_and,American_Bullfrog",,,5,,,,,,1,6,,Yes,,4,-95.500047,40.258162,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,
Corning Bend,3,Natural_Wetland_-_Riverward,6/10/2025,10:22,16,RYO,,,Toad_(American_Great_Plains_and,,,5,,,,,,,5,,Yes,,6,-95.499158,40.258128,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,4,Ag_Connected,6/10/2025,11:23,12,RYO,,,None,,,,,,,,,,0,,Yes,,2,-95.512119,40.262883,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,5,Natural_Wetland_-_Riverward,6/10/2025,11:48,17,RYO,,,Toad_(American_Great_Plains_and,,,15,,,,,,,15,,Yes,,1,-95.516177,40.261739,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
Corning Bend,5,Natural_Wetland_-_Riverward,6/10/2025,12:10,10,RYO,,,Toad_(American_Great_Plains_and,,,6,,,,,,,6,,Yes,,3,-95.516359,40.261762,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,8:08,17,RYO,,,Toad_(American_Great_Plains_and,,,1,,,,,,,1,,No,,2,-95.501713,40.266658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,8:40,16,RYO,,,None,,,,,,,,,,0,,No,,4,-95.500875,40.266395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,8:58,12,RYO,,,None,,,,,,,,,,0,,Yes,,6,-95.500426,40.26624,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,9:15,10,RYO,,,American_Bullfrog,,,,,,,,,1,1,,Yes,,8,-95.499175,40.266514,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,9:34,10,RYO,,,Toad_(American_Great_Plains_and,,,1,,,,,,,1,,Yes,,10,-95.499682,40.26676,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,6/11/2025,9:45,15,RYO,,,American_Bullfrog,,,,,,,,,1,1,,Yes,,12,-95.501243,40.266919,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,2,Borrow_Pit_-_Landward,6/11/2025,10:06,20,RYO,,,Toad_(American_Great_Plains_and,,,10,,,,,,,10,,Yes,,2,-95.501683,40.267221,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
MU Payne,1,Natural_Wetland_-_Riverward,6/11/2025,11:29,11,RYO,,,None,,,,,,,,,,0,,Yes,,1,-95.775169,40.659581,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU Payne,1,Natural_Wetland_-_Riverward,6/11/2025,11:43,11,RYO,,,None,,,,,,,,,,0,,Yes,,3,-95.775795,40.659784,10,,,,,,1,,,,,3,,,,,,,,,,,,,2,,,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,8:20,18,RYO,,,Toad_(American_Great_Plains_and,,,10,,,,,,,10,,Yes,,1,-95.752575,40.640044,,,,,,,,,,,,,,,,,,,,50,,,,30,,,,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,8:46,16,RYO,,,Toad_(American_Great_Plains_and,,,2,,,,,,,2,,Yes,,3,-95.752968,40.640051,,,,,,,,,,,,,,,,,,,,45,,,,8,,,,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,9:08,18,RYO,,,"Toad_(American_Great_Plains_and,American_Bullfrog",,,7,,,,,,1,8,,Yes,,5,-95.752956,40.639578,,,,,,,,,,,,,,,,,,,,46,,,,8,,,,,,
MU Payne,2,Borrow_Pit_-_Riverward,6/12/2025,9:31,15,RYO,,,Toad_(American_Great_Plains_and,,,6,,,,,,,6,,Yes,,7,-95.752672,40.639485,,,,,,,,,,,,,,,,,,,,26,,,,2,,,,,,
Copeland Bend,10,Borrow_Pit_-_Riverward,6/12/2025,10:47,21,RYO,,,other,too small to ID - 6,,,,,,,,,0,,Yes,,1,-95.843597,40.688291,,,,,,,,,,,,,,,,,,,,,,,,20,,,,1,,
Copeland Bend,9,Borrow_Pit_-_Riverward,6/12/2025,11:23,15,RYO,,,"Toad_(American_Great_Plains_and,Boreal_Chorus_Frog,Leopard_Frog_(Plains_and_Northe",,,2,,,3,,32,,37,,Yes,,2,-95.842879,40.688198,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,
De Soto Bend,4,Natural_Wetland_-_Landward,6/18/2025,13:05,37,"AF, RYO, JSJ",26.4,"Bullrush, aquatic emergent vegetation","Blanchard's_Cricket_Frog,Leopard_Frog_(Plains_and_Northe",,,,2,,,,36,,38,,Yes,,1,-96.030144,41.545717,,,20,,,,,,,,,,,,,,,,,30,,,,,,,,,,
De Soto Bend,4,Natural_Wetland_-_Landward,6/18/2025,13:47,29,"AF, RYO, JSJ",,"pondweed, river bullrush","Blanchard's_Cricket_Frog,Leopard_Frog_(Plains_and_Northe",,,,1,,,,89,,90,,Yes,,2,-96.030228,41.545717,,,35,,,,,,,,,,,,,,,,,47,,,,,,,,,,
De Soto Bend,4,Natural_Wetland_-_Landward,6/18/2025,14:16,18,"RYO, AF, JSJ",,"pondweed, river bullrush",Leopard_Frog_(Plains_and_Northe,,,,,,,,21,,21,,Yes,,3,-96.030671,41.545753,,,50,,,,15,,,,,,,,,,,,,30,,,,,,,,,1,
De Soto Bend,4,Natural_Wetland_-_Landward,6/18/2025,14:20,21,"RYO, AF, JSJ",,"Pondweed, river bullrush",Leopard_Frog_(Plains_and_Northe,,,,,,,,32,,32,,Yes,,4,-96.030671,41.545738,,,52,,,,,,,,,,,,,,,,,39,,,,,,,,,,
De Soto Bend,2,Natural_Wetland_-_Landward,6/19/2025,8:45,21,"RYO, AF, JSJ",23.7,"river bullrush, dead willows",None,,,,,,,,,,0,,Yes,,1,-96.045791,41.520027,,,2,1,,,,,,,,,,,,,,,,2,,,,6,,,,,,
De Soto Bend,2,Natural_Wetland_-_Landward,6/19/2025,9:09,12,"RYO, AF, JSJ",,River bullrush,None,,,,,,,,,,0,,Yes,,2,-96.045791,41.520258,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
De Soto Bend,2,Natural_Wetland_-_Landward,6/19/2025,9:23,17,"AF, RYO, JSJ",,"river bullrush, willows",None,,,,,,,,,,0,,Yes,,3,-96.045839,41.52025,,,2,3,,,,,,,,,,,,,,,,1,,,,,,,,,,
De Soto Bend,3,Natural_Wetland_-_Landward,6/18/2025,11:11,37,"AF, DC",26.1,"Smartweed, cattails, snags",None,,,,,,,,,,0,,Yes,,2,-96.034661,41.543351,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
De Soto Bend,1,Natural_Wetland_-_Landward,6/18/2025,8:16,24,"AF, RYO, JSJ",,River bullrush,American_Bullfrog,,,,,,,,,1,1,,Yes,,1,-96.035176,41.542683,,,1,1,,,,,,,,,,,,,,,,20,,,,,,,,,,
De Soto Bend,1,Natural_Wetland_-_Landward,6/18/2025,8:45,19,"AF, RYO, JSJ, DC",,"River bullrush, smartweed, willows",American_Bullfrog,,,,,,,,,3,3,,Yes,,2,-96.035255,41.542818,,,1,,,,,,,,,,,,,,,,,19,,,,,,,,,,
De Soto Bend,1,Natural_Wetland_-_Landward,6/18/2025,9:15,17,"AF, RYO, JSJ, DC",,"River bullrush, pondweed",American_Bullfrog,,,,,,,,,2,2,,Yes,,3,-96.035377,41.542914,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,
De Soto Bend,1,Natural_Wetland_-_Landward,6/18/2025,9:35,28,"RYO, AF, DC, JSJ",,"River bullrush, dead snags",American_Bullfrog,,,,,,,,,1,1,,Yes,,4,-96.035504,41.543199,,,1,,,,,,,,,,,,,,,,,45,,,,,,,,,,
De Soto Bend,1,Natural_Wetland_-_Landward,6/18/2025,10:08,20,"RYO, AF, JSJ, DC",,"River bullrush, willows",None,,,,,,,,,,0,,Yes,,5,-96.035753,41.543045,,,,1,,,,,,,,,,,,,,,,28,,,,,,,,,,
De Soto Bend,1,Natural_Wetland_-_Landward,6/18/2025,10:30,28,"RYO, AF, JSJ, DC",,River bullrush,American_Bullfrog,,,,,,,,,2,2,,Yes,,6,-96.035575,41.542752,,,3,,,,,,,,,,,,,,,,,36,,,,,,,,,,
De Soto Bend,3,Natural_Wetland_-_Landward,6/18/2025,11:12,12,"RYO, JSJ",,"Smartweed, soft stem bullrush, river bullrush",None,,,,,,,,,,0,,Yes,,1,-96.034745,41.543325,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
De Soto Bend,3,Natural_Wetland_-_Landward,6/18/2025,11:24,14,"RYO, JSJ",,"Smartweed, river bullrush",None,,,,,,,,,,0,,No,,3,-96.034784,41.54302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soldier Bend,3,"Borrow_Pit_-_Landward,Ag_Connected",6/25/2025,8:57,25,"AF, RYO, JSJ, AC",25.3,"pondweed, misc. emergent veg","Toad_(American_Great_Plains_and,American_Bullfrog",,,6,,,,,,15,21,,Yes,,1,-96.093173,41.703827,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,12
Soldier Bend,3,"Borrow_Pit_-_Landward,Ag_Connected",6/25/2025,9:24,16,"AF, RYO, JSJ, AC",,"Smartweed, pondweed",American_Bullfrog,,,,,,,,,12,12,,Yes,,2,-96.093445,41.703845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Soldier Bend,3,"Borrow_Pit_-_Landward,Ag_Connected",6/25/2025,9:40,15,"AF, RYO, JSJ, AC",,"Smartweed, misc. emergent veg",None,,,,,,,,,,0,,Yes,,3,-96.09341,41.703928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Soldier Bend,3,"Borrow_Pit_-_Landward,Ag_Connected",6/25/2025,9:51,16,"AF, RYO, JSJ, AC",,Smartweed,American_Bullfrog,,,,,,,,,1,1,,Yes,,4,-96.093482,41.704132,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Soldier Bend,3,"Borrow_Pit_-_Landward,Ag_Connected",6/25/2025,10:00,12,"AF, RYO, JSJ, AC",,,American_Bullfrog,,,,,,,,,8,8,,Yes,,5,-96.093196,41.704315,,,4,,,,,,,,,,,,,,,,,6,,,,,,,,,,
Soldier Bend,2,Borrow_Pit_-_Landward,6/25/2025,10:20,14,"AF, RYO, JSJ, AC",,"Curly dock, willows",None,,,,,,,,,,0,,Yes,,1,-96.092502,41.697937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Soldier Bend,2,Borrow_Pit_-_Landward,6/25/2025,10:37,11,"AF, RYO, JSJ, AC",26.5,"Curly dock, misc. emergent veg",None,,,,,,,,,,0,,Yes,,2,-96.092502,41.697937,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,
Soldier Bend,2,Borrow_Pit_-_Landward,6/25/2025,10:51,15,"AF, RYO, JSJ, AC",,"Curly dock, reed canary grass",None,,,,,,,,,,0,,Yes,,3,-96.092502,41.697937,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Soldier Bend,2,Borrow_Pit_-_Landward,6/25/2025,11:06,13,"AF, RYO, JSJ, AC",,"Reed canary grass, soft stem bullrush",None,,,,,,,,,,0,,Yes,,4,-96.091154,41.69855,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Soldier Bend,2,Borrow_Pit_-_Landward,6/25/2025,11:17,15,"AF, RYO, JSJ, AC",,Reed canary grass,None,,,,,,,,,,0,,No,,5,-96.090961,41.698066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soldier Bend,1,"Borrow_Pit_-_Landward,Ag_Connected",6/25/2025,11:41,24,"AF, RYO, JSJ, AC",,"Smartweed, reed canary grass",None,,,,,,,,,,0,,Yes,Unknown species for minnow,1,-96.089341,41.697468,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
